Tiempo (s),Voltaje (V),Temperatura (C),Temperatura (K)
0.43836188316345215,0.000946362,23.504407769854367,296.65440776985434
1.876918077468872,0.000947828,23.54075911244871,296.6907591124487
3.315217971801758,0.000949597,23.58462213421592,296.7346221342159
4.753462791442871,0.000950968,23.61861539713999,296.76861539713997
6.191478967666626,0.000952466,23.655756364461695,296.8057563644617
7.630298137664795,0.000952371,23.65340099980824,296.8034009998082
9.068910598754883,0.000903478,22.440517599596433,295.5905175995964
10.507144212722778,0.000841539,20.902127239312676,294.05212723931265
11.94520378112793,0.000782248,19.4275924708424,292.5775924708424
13.384109020233154,0.000720644,17.8936222755608,291.0436222755608
14.823082208633423,0.000658276,16.338730707730747,289.4887307077307
16.26157021522522,0.000599111,14.862024789332338,288.0120247893323
17.70025134086609,0.000540051,13.386426983670276,286.53642698367025
19.138304710388184,0.000482583,11.94926856025279,285.09926856025277
20.576423168182373,0.000427208,10.563322764418444,283.7133227644184
22.014857292175293,0.000370493,9.142822516578178,282.29282251657816
23.45410680770874,0.00031737,7.811486627853128,280.9614866278531
24.892357349395752,0.000261022,6.398633510539639,279.5486335105396
26.330386638641357,0.000209824,5.114435231371829,278.2644352313718
27.76922106742859,0.000156146,3.7677077577847626,276.91770775778474
29.207521677017212,0.00010386,2.455754460354285,275.60575446035426
30.64632487297058,4.8894e-05,1.0765942126460573,274.22659421264603
32.08517336845398,-3.497e-06,-0.2380458129621843,272.9119541870378
33.523112773895264,-5.4589e-05,-1.5275011661235567,271.6224988338764
34.96205139160156,-0.000103609,-2.769611275106115,270.38038872489386
36.400495767593384,-0.00015044,-3.960234696952341,269.18976530304764
37.83926749229431,-0.00019792,-5.170887723744045,267.97911227625593
39.277127742767334,-0.00024315,-6.327144525530457,266.8228554744695
40.716065645217896,-0.000286306,-7.432849693582966,265.717150306417
42.15406107902527,-0.00032628,-8.459021635183149,264.69097836481683
43.593260765075684,-0.000372713,-9.653259889558,263.496740110442
45.03169894218445,-0.000415576,-10.757725971400987,262.392274028599
46.47030711174011,-0.000456555,-11.815415015524877,261.3345849844751
47.90910792350769,-0.000503114,-13.019173563149195,260.1308264368508
49.347233057022095,-0.000366808,-9.501255508427846,263.64874449157213
50.78547716140747,-0.000527456,-13.649379854576296,259.5006201454237
52.224371671676636,-0.000621349,-16.085744067681105,257.0642559323189
53.66236329078674,-0.000684157,-17.720463343937638,255.42953665606234
55.10100722312927,-0.000734244,-19.02703312821515,254.12296687178483
56.540056467056274,-0.000782604,-20.2911175326106,252.85888246738938
57.97899556159973,-0.000828828,-21.50180896319739,251.6481910368026
59.417317390441895,-0.000872895,-22.65830630325854,250.49169369674144
60.85513997077942,-0.000920104,-23.899848119661698,249.25015188033828
62.29420852661133,-0.000962914,-25.028098126544734,248.12190187345524
63.732539653778076,-0.001008638,-26.235755669031477,246.9142443309685
65.17140746116638,-0.00105303,-27.410901234590824,245.73909876540915
66.60979914665222,-0.00109716,-28.581805645604646,244.56819435439533
68.04820966720581,-0.001142379,-29.784481651592415,243.36551834840756
69.48662900924683,-0.001183996,-30.89400747828134,242.25599252171864
70.92504096031189,-0.001227948,-32.068623170351344,241.08137682964863
72.36311745643616,-0.001268812,-33.1633956089392,239.98660439106078
73.80172204971313,-0.001310659,-34.28724906156131,238.86275093843867
75.24025511741638,-0.001352444,-35.41227288745523,237.73772711254475
76.67930269241333,-0.001392711,-36.49916395003282,236.65083604996715
78.11749839782715,-0.001433647,-37.60692231062001,235.54307768937997
79.55644869804382,-0.00147426,-38.70879128108314,234.44120871891684
80.99523401260376,-0.001514443,-39.80183774811502,233.34816225188496
82.43303155899048,-0.001553369,-40.86343269137976,232.28656730862022
83.87231636047363,-0.001592547,-41.934665197930684,231.2153348020693
85.31062150001526,-0.001631997,-43.016177834259565,230.1338221657404
86.74843907356262,-0.001670494,-44.074351721441985,229.075648278558
88.1874315738678,-0.001708908,-45.13302413026153,228.01697586973845
89.62585687637329,-0.001746808,-46.18028573410683,226.96971426589315
91.06463313102722,-0.001784102,-47.213504500537994,225.93649549946198
92.50248503684998,-0.001821259,-48.24562358883148,224.9043764111685
93.94161796569824,-0.001857798,-49.263229158134834,223.88677084186514
95.37934970855713,-0.001895123,-50.305470037211876,222.8445299627881
96.81856679916382,-0.001931778,-51.33173125692409,221.8182687430759
98.2563579082489,-0.001968014,-52.34894763925405,220.80105236074593
99.69500637054443,-0.00200404,-53.36294436825196,219.78705563174802
101.13380885124207,-0.002039723,-54.369944275447295,218.78005572455268
102.57252788543701,-0.002074587,-55.35641255541884,217.79358744458114
104.01085329055786,-0.002109483,-56.34636802090512,216.80363197909486
105.44936752319336,-0.00214419,-57.33355125774631,215.81644874225367
106.88821339607239,-0.002178615,-58.31529242102653,214.83470757897345
108.32613348960876,-0.002213259,-59.305901139849,213.84409886015098
109.76525688171387,-0.002247736,-60.29437610461346,212.85562389538651
111.20361375808716,-0.00228148,-61.264417218393675,211.8855827816063
112.64142537117004,-0.002314638,-62.22013011465944,210.92986988534054
114.08048605918884,-0.002348141,-63.18835252829038,209.9616474717096
115.51932716369629,-0.002380723,-64.132462751774,209.01753724822598
116.95726919174194,-0.002414195,-65.10496666343474,208.04503333656524
118.39601182937622,-0.002446044,-66.03279839103789,207.1172016089621
119.83521509170532,-0.002477809,-66.96062676400041,206.18937323599957
121.27354216575623,-0.002510213,-67.90966853941657,205.2403314605834
