Tiempo (s),Voltaje (V),Temperatura (C),Temperatura (K)
0.4089775085449219,0.0008783,21.815417330312528,294.9654173303125
1.8269281387329102,0.0008814,21.8924004011983,295.0424004011983
3.2379276752471924,0.0008814,21.8924004011983,295.0424004011983
4.657219171524048,0.0008804,21.86756772207093,295.0175677220709
6.067911624908447,0.0008793,21.840251148437915,294.9902511484379
7.490924835205078,0.0008177,20.30948586555894,293.4594858655589
8.904651880264282,0.000801,19.894143068903986,293.04414306890396
10.316571474075317,0.0006715,16.668571638270066,289.81857163827004
11.738380670547485,0.0005044,12.495015036452685,285.64501503645266
13.148869037628174,0.0003415,8.416305295621783,281.56630529562176
14.568538665771484,0.0002047,4.985890864739872,278.13589086473985
15.97764253616333,8.35e-05,1.944882715965548,275.0948827159655
17.39607048034668,-1.36e-05,-0.49257210517600925,272.65742789482397
18.815772533416748,-5.12e-05,-1.4417992406173994,271.7082007593826
20.23195791244507,-0.0001253,-3.3206244778733662,269.8293755221266
21.64431929588318,-0.0002674,-6.948172743787097,266.2018272562129
23.061188459396362,-0.0004532,-11.728756892658907,261.42124310734107
24.471801042556763,-0.0006454,-16.711248302652848,256.43875169734713
25.89129400253296,-0.0008491,-22.033544733755974,251.116455266244
27.305421352386475,-0.0010172,-26.462201570609125,246.68779842939085
28.72593665122986,-0.0011425,-29.78770383950817,243.3622961604918
30.134414672851562,-0.0012699,-33.19257975258165,239.95742024741833
31.55240273475647,-0.0013932,-36.512379827828,236.63762017217198
32.96366620063782,-0.0015185,-39.91235413498998,233.23764586501
34.38331627845764,-0.0016417,-43.28262495153655,229.86737504846343
35.79679846763611,-0.0017649,-46.68118235320304,226.46881764679694
37.218817472457886,-0.0018882,-50.111945411275315,223.03805458872466
38.63471436500549,-0.0020051,-53.39282007855118,219.7571799214488
40.04381346702576,-0.0021263,-56.824375558632795,216.32562444136718
41.46578025817871,-0.0022516,-60.40532472632006,212.74467527367992
42.8837354183197,-0.0023686,-63.78089096640656,209.36910903359342
44.29376530647278,-0.0024918,-67.37007449340817,205.7799255065918
45.71140432357788,-0.0026098,-70.84285565289807,202.3071443471019
47.12132000923157,-0.002731,-74.44756224167395,198.70243775832603
48.54596829414368,-0.0028521,-78.08982500966096,195.06017499033902
49.962125062942505,-0.002968,-81.6160842705927,191.53391572940728
51.37628221511841,-0.0030787,-85.02344947297269,188.1265505270273
52.792781352996826,-0.0031957,-88.66928924985356,184.48071075014641
54.203388929367065,-0.0033064,-92.16381254456991,180.98618745543007
55.62452936172485,-0.0034171,-95.70505438731593,177.44494561268405
57.03589844703674,-0.0035184,-98.98917136307065,174.16082863692932
58.45030975341797,-0.0036291,-102.62871205092284,170.52128794907713
59.863218784332275,-0.0037346,-106.14963626374703,167.00036373625295
61.28076219558716,-0.0038359,-109.58147168417793,163.56852831582205
62.69748330116272,-0.0039351,-112.9935805070973,160.15641949290267
64.11523842811584,-0.0040301,-116.3117098703454,156.83829012965458
65.53170537948608,-0.0041189,-119.46049306264939,153.6895069373506
66.94336700439453,-0.0042097,-122.73003394904183,150.41996605095815
68.35543489456177,-0.0042849,-125.47806958798392,147.67193041201605
69.77305889129639,-0.0043612,-128.30554871504205,144.84445128495793
71.19360756874084,-0.0044332,-131.011811393176,142.13818860682397
72.60536980628967,-0.0045011,-133.5996721545353,139.55032784546466
74.01914024353027,-0.0045627,-135.97894713020867,137.1710528697913
75.44287014007568,-0.0046254,-138.43309565969713,134.71690434030285
76.85440301895142,-0.0046828,-140.70990770890774,132.44009229109224
78.26718950271606,-0.0047361,-142.85117890823943,130.29882109176054
